method,stress_name,stress_value,num_queries,num_errors,accuracy,collapse_rate,forgetting_rate,stale_dominance_rate,residual_rate,forgetting_share_of_errors,stale_dominance_share_of_errors,residual_share_of_errors,mean_confidence
proposed_learned_direct_valid_resolver,s4,0.8,90,27,0.7,0.3,0.2,0.022222222222222223,0.07777777777777778,0.6666666666666666,0.07407407407407407,0.25925925925925924,0.5684580722753756
proposed_learned_direct_valid_resolver,s5,1.0,90,23,0.7444444444444445,0.25555555555555554,0.18888888888888888,0.011111111111111112,0.05555555555555555,0.7391304347826086,0.043478260869565216,0.21739130434782608,0.5656963030916152
proposed_learned_direct_valid_staleaware,overall,-1.0,540,157,0.7092592592592593,0.29074074074074074,0.18333333333333332,0.040740740740740744,0.06666666666666667,0.6305732484076433,0.14012738853503184,0.22929936305732485,0.907049237552227
proposed_learned_direct_valid_staleaware,s0,0.0,90,22,0.7555555555555555,0.24444444444444444,0.2,0.022222222222222223,0.022222222222222223,0.8181818181818182,0.09090909090909091,0.09090909090909091,0.964341337783395
proposed_learned_direct_valid_staleaware,s1,0.2,90,23,0.7444444444444445,0.25555555555555554,0.14444444444444443,0.03333333333333333,0.07777777777777778,0.5652173913043478,0.13043478260869565,0.30434782608695654,0.9525844300035301
proposed_learned_direct_valid_staleaware,s2,0.4,90,24,0.7333333333333333,0.26666666666666666,0.2111111111111111,0.03333333333333333,0.022222222222222223,0.7916666666666666,0.125,0.08333333333333333,0.9295916168527438
proposed_learned_direct_valid_staleaware,s3,0.6,90,23,0.7444444444444445,0.25555555555555554,0.13333333333333333,0.022222222222222223,0.1,0.5217391304347826,0.08695652173913043,0.391304347826087,0.8978456454277928
proposed_learned_direct_valid_staleaware,s4,0.8,90,34,0.6222222222222222,0.37777777777777777,0.2111111111111111,0.07777777777777778,0.08888888888888889,0.5588235294117647,0.20588235294117646,0.23529411764705882,0.8520028657126372
proposed_learned_direct_valid_staleaware,s5,1.0,90,31,0.6555555555555556,0.34444444444444444,0.2,0.05555555555555555,0.08888888888888889,0.5806451612903226,0.16129032258064516,0.25806451612903225,0.845929529533264
recency_only,overall,-1.0,540,444,0.17777777777777778,0.8222222222222222,0.8185185185185185,0.0,0.003703703703703704,0.9954954954954955,0.0,0.0045045045045045045,0.6896805126618792
recency_only,s0,0.0,90,71,0.2111111111111111,0.7888888888888889,0.7777777777777778,0.0,0.011111111111111112,0.9859154929577465,0.0,0.014084507042253521,0.6751013160468713
recency_only,s1,0.2,90,72,0.2,0.8,0.8,0.0,0.0,1.0,0.0,0.0,0.6772016516477058
recency_only,s2,0.4,90,71,0.2111111111111111,0.7888888888888889,0.7888888888888889,0.0,0.0,1.0,0.0,0.0,0.6667301327256957
recency_only,s3,0.6,90,75,0.16666666666666666,0.8333333333333334,0.8333333333333334,0.0,0.0,1.0,0.0,0.0,0.7344869602218139
recency_only,s4,0.8,90,73,0.18888888888888888,0.8111111111111111,0.8111111111111111,0.0,0.0,1.0,0.0,0.0,0.7136734396403656
recency_only,s5,1.0,90,82,0.08888888888888889,0.9111111111111111,0.9,0.0,0.011111111111111112,0.9878048780487805,0.0,0.012195121951219513,0.6708895756888241
recency_weighted_vote,overall,-1.0,540,179,0.6685185185185185,0.3314814814814815,0.17407407407407408,0.037037037037037035,0.12037037037037036,0.5251396648044693,0.11173184357541899,0.36312849162011174,0.5907231258324542
recency_weighted_vote,s0,0.0,90,21,0.7666666666666667,0.23333333333333334,0.2,0.011111111111111112,0.022222222222222223,0.8571428571428571,0.047619047619047616,0.09523809523809523,0.8049368216174162
recency_weighted_vote,s1,0.2,90,28,0.6888888888888889,0.3111111111111111,0.14444444444444443,0.011111111111111112,0.15555555555555556,0.4642857142857143,0.03571428571428571,0.5,0.6961792941127268
recency_weighted_vote,s2,0.4,90,23,0.7444444444444445,0.25555555555555554,0.2111111111111111,0.011111111111111112,0.03333333333333333,0.8260869565217391,0.043478260869565216,0.13043478260869565,0.6267047261280425
recency_weighted_vote,s3,0.6,90,26,0.7111111111111111,0.28888888888888886,0.1111111111111111,0.044444444444444446,0.13333333333333333,0.38461538461538464,0.15384615384615385,0.46153846153846156,0.5331294888521361
recency_weighted_vote,s4,0.8,90,38,0.5777777777777777,0.4222222222222222,0.18888888888888888,0.06666666666666667,0.16666666666666666,0.4473684210526316,0.15789473684210525,0.39473684210526316,0.4575803905616841
recency_weighted_vote,s5,1.0,90,43,0.5222222222222223,0.4777777777777778,0.18888888888888888,0.07777777777777778,0.2111111111111111,0.3953488372093023,0.16279069767441862,0.4418604651162791,0.4258080337227197
